gene_symbol,uniprot_id,interaction_claim_source,drug_name,chembl_id,CID
MAPK7,A0A024QZ20,PharmGKB,SORAFENIB,CHEMBL1336,216239
MAPK7,A0A024QZ20,DTC,CHEMBL1673039,CHEMBL1673039,46844147
FST,A0A024QZU6,NCI,BICALUTAMIDE,CHEMBL409,2375
FST,A0A024QZU6,NCI,INDOMETHACIN,CHEMBL6,3715
RIPOR2,A0A024QZY9,PharmGKB,RIFAMPIN,CHEMBL374478,135398735
RIPOR2,A0A024QZY9,PharmGKB,RIFAMPIN,CHEMBL374478,135398735
CEACAM5,A0A024R0K5,NCI,GEFITINIB,CHEMBL939,123631
CEACAM5,A0A024R0K5,NCI,GENISTEIN,CHEMBL44,5280961
GSK3A,A0A024R0L5,DTC,GO-6976,CHEMBL302449,3501
GSK3A,A0A024R0L5,DTC,CHEMBL1276446,CHEMBL1276446,3536
GSK3A,A0A024R0L5,TTD,KENPAULLONE,CHEMBL296586,3820
GSK3A,A0A024R0L5,DTC,KENPAULLONE,CHEMBL296586,3820
GSK3A,A0A024R0L5,DTC,SB-220025,CHEMBL274064,5164
GSK3A,A0A024R0L5,DTC,SP-600125,CHEMBL1725279,8515
GSK3A,A0A024R0L5,ChemblInteractions,LITHIUM CARBONATE,CHEMBL1200826,11125
GSK3A,A0A024R0L5,TTD,CHEMBL259850,CHEMBL259850,448014
GSK3A,A0A024R0L5,DTC,CHEMBL259850,CHEMBL259850,448014
GSK3A,A0A024R0L5,DTC,CHEMBL546797,CHEMBL546797,910649
GSK3A,A0A024R0L5,ChemblInteractions,LITHIUM CITRATE,CHEMBL2103738,2724118
GSK3A,A0A024R0L5,DTC,BMS-387032,CHEMBL296468,3025986
GSK3A,A0A024R0L5,DTC,CHEMBL588859,CHEMBL588859,4204024
GSK3A,A0A024R0L5,GuideToPharmacology,CHEMBL322970,CHEMBL322970,4210951
GSK3A,A0A024R0L5,DTC,JNJ-7706621,CHEMBL191003,5330790
GSK3A,A0A024R0L5,DTC,CYC-116,CHEMBL482967,6420138
GSK3A,A0A024R0L5,DTC,AZAKENPAULLONE,CHEMBL336961,6538897
GSK3A,A0A024R0L5,TTD,CHIR-99021,CHEMBL412142,9956119
GSK3A,A0A024R0L5,GuideToPharmacology,CHIR-99021,CHEMBL412142,9956119
GSK3A,A0A024R0L5,DTC,CHIR-99021,CHEMBL412142,9956119
GSK3A,A0A024R0L5,TTD,LY-2090314,CHEMBL362558,10029385
GSK3A,A0A024R0L5,ChemblInteractions,LY-2090314,CHEMBL362558,10029385
GSK3A,A0A024R0L5,DTC,SOTRASTAURIN,CHEMBL565612,10296883
GSK3A,A0A024R0L5,DTC,CHEMBL379975,CHEMBL379975,10384072
GSK3A,A0A024R0L5,DTC,R-406,CHEMBL475251,11213558
GSK3A,A0A024R0L5,TdgClinicalTrial,TIDEGLUSIB,CHEMBL3545157,11313622
GSK3A,A0A024R0L5,DTC,PF-00562271,CHEMBL1084546,11713159
GSK3A,A0A024R0L5,DTC,CHEMBL225519,CHEMBL225519,11715767
GSK3A,A0A024R0L5,DTC,CHEMBL541400,CHEMBL541400,11784504
GSK3A,A0A024R0L5,DTC,GSK-269962A,CHEMBL220241,16095342
GSK3A,A0A024R0L5,DTC,RG-1530,CHEMBL1980391,135398512
GSK3A,A0A024R0L5,ChemblInteractions,AZD-1080,CHEMBL1969664,135564570
ERCC1,A0A024R0Q6,PharmGKB,CYCLOPHOSPHAMIDE,CHEMBL88,2907
ERCC1,A0A024R0Q6,PharmGKB,FLUOROURACIL,CHEMBL185,3385
ERCC1,A0A024R0Q6,NCI,FLUOROURACIL,CHEMBL185,3385
ERCC1,A0A024R0Q6,PharmGKB,GRANISETRON,CHEMBL289469,3510
ERCC1,A0A024R0Q6,PharmGKB,THALIDOMIDE,CHEMBL468,5426
ERCC1,A0A024R0Q6,PharmGKB,DOXORUBICIN,CHEMBL53463,31703
ERCC1,A0A024R0Q6,CIViC,PACLITAXEL,CHEMBL428647,36314
ERCC1,A0A024R0Q6,PharmGKB,PACLITAXEL,CHEMBL428647,36314
ERCC1,A0A024R0Q6,PharmGKB,ETOPOSIDE,CHEMBL44657,36462
ERCC1,A0A024R0Q6,PharmGKB,GEMCITABINE,CHEMBL888,60750
